model number,number of steady states,number of runs that converged,AMPK,mTOR,SNAIL ,ZEB,miR200,miR34
2226,2,57,4.934868,0.182629,-1.567376,-13.277749,4.497507,4.713426
2226,2,43,1.744637,6.501418,1.685913,9.65434,-10.737677,0.88876
2227,1,100,4.187947,-6.57234,-5.337833,-11.926027,9.30602,8.612558
2228,1,100,2.684736,3.242441,-0.053054,9.619363,0.090215,1.921779
2229,1,100,-0.650171,6.835193,1.394941,9.407308,-12.475055,0.148656
2230,1,100,4.786458,-0.261733,-7.527827,-18.651092,9.048491,6.745325
2231,1,100,2.627978,7.320502,2.300249,9.116533,-10.426598,0.71741
2232,2,90,1.051825,8.01849,-2.639938,-6.816721,5.142613,6.781818
2232,2,10,4.426003,-0.259992,-10.925021,-21.132019,5.677025,6.949147
2233,1,100,5.55722,-2.283374,-4.806966,-23.20582,7.194184,6.345454
2234,1,100,4.217807,-3.308705,-6.520413,-15.366235,6.273255,4.21347
2235,1,100,5.032081,-1.27239,-4.293915,-22.486278,6.838142,6.285195
2236,1,100,6.398271,-1.648667,-5.300706,-21.390545,6.657718,5.468079
2237,2,65,1.897386,7.005851,-0.740633,-3.357928,-3.140388,6.186904
2237,2,35,1.897386,7.005851,-0.740633,3.324011,-9.326795,6.186904
2238,1,100,3.179995,-0.994398,-10.85965,-14.300468,7.949591,7.327181
2239,2,78,3.037545,3.611417,-2.437544,8.195394,-0.373376,2.686332
2239,2,22,3.946486,-1.436918,-7.740607,-14.291773,6.99279,5.395702
2240,2,48,-2.19064,5.681692,-0.926612,-6.695476,1.549872,6.028795
2240,2,52,-2.19064,5.681692,-0.926612,0.933029,-3.666871,6.028795
2241,1,100,3.974087,-4.801281,-7.143547,-25.936069,4.824118,6.133906
2242,1,100,-2.441127,6.801562,5.589677,11.545894,-13.485975,-1.465546
2243,1,100,-2.743932,5.282428,2.08564,3.971545,-9.373216,4.001969
2244,1,100,1.121102,7.405094,1.571595,8.527472,-10.191151,4.101895
2245,1,100,2.315255,-3.898479,-5.618347,-19.368404,3.86705,7.553078
2246,1,100,-0.267863,6.699485,-2.150303,-5.769038,0.607901,4.470066
2247,1,100,-1.101323,5.585984,-0.897173,3.315655,0.93586,5.158541
2248,2,91,2.080591,-1.410465,-6.461788,-13.005475,0.837724,7.267164
2248,2,9,1.055866,4.996487,1.03898,6.732634,-12.261977,2.81255
2249,1,100,0.218201,2.665164,-0.191636,10.195232,-1.516826,4.061934
2250,1,100,2.502936,1.282418,-5.858319,-15.187701,6.600062,6.813474
2251,2,93,-0.237268,8.140027,2.39163,10.448998,-6.705981,2.849397
2251,2,7,4.462402,-3.020369,-6.076763,-19.157192,5.317144,6.058076
2252,1,100,4.379238,-1.072466,-4.506005,-14.97411,4.881786,5.506798
2253,1,100,4.013364,-3.647416,-5.17623,-25.806683,6.629004,7.735624
2254,2,36,3.828264,-1.988355,-6.509576,-19.879782,4.223322,7.756288
2254,2,64,1.040186,5.506333,3.155948,6.646042,-12.880543,2.907477
2255,3,47,1.416477,7.211062,3.043291,6.970635,-6.160558,0.911051
2255,3,33,5.45042,-2.360224,-7.781176,-20.590165,6.946969,7.511009
2255,3,20,1.416531,6.240643,-1.318726,-11.296864,5.412128,6.844402
2256,2,87,2.952681,-0.552386,-7.493081,-16.841432,2.83176,6.199024
2256,2,13,1.545049,4.382026,-1.005176,5.39892,-7.683984,1.05116
2257,1,100,4.035232,-8.107909,-6.741817,-19.814817,4.259853,6.667803
2258,2,44,2.563843,6.509472,0.515277,-4.432071,-0.945815,6.510763
2258,2,56,4.359056,-0.633789,-2.789183,-21.405725,3.583569,7.579574
2259,1,100,-1.371509,8.40022,-1.15077,-8.988962,0.651674,7.362661
2260,1,100,1.504382,9.360073,1.048117,6.278011,-0.103642,4.530399
2261,2,50,0.602132,4.449365,-2.124805,-9.508776,1.150654,7.202776
2261,2,50,6.801838,-4.954796,-6.082602,-22.69637,7.274599,7.291226
2262,1,100,5.079285,-2.178714,-3.149118,-23.103539,0.77921,3.940988
2263,1,100,3.75026,-4.411709,-10.098289,-20.333284,2.326801,7.441029
2264,1,100,2.848761,-4.252832,-10.110474,-16.41261,2.446131,6.248341
2265,1,100,2.733032,5.400648,1.097175,3.224085,-4.477538,1.380838
2266,3,71,0.156011,5.651241,0.036944,7.665306,-10.590604,4.546465
2266,3,7,0.15675,5.583047,-1.39483,-2.776046,-2.072109,6.684356
2266,3,22,1.397796,0.116209,-4.551039,-14.16318,-0.19492,6.993977
2267,2,45,2.398837,-0.7928,-6.179507,-15.169136,2.775131,6.859055
2267,2,55,1.134345,5.853768,0.798605,8.715326,-8.347244,3.333889
2268,2,78,0.180553,-1.03083,-0.843367,6.0428,-9.637218,3.873908
2268,2,22,-0.788936,3.907151,1.142781,11.430726,-11.181559,3.149137
2269,2,68,1.587705,-3.765423,-4.64741,0.848453,-0.628866,6.382741
2269,2,32,1.587705,-3.765423,-4.64741,-6.723041,3.710993,6.382741
2270,1,100,3.970817,-4.206919,-7.870315,-12.409473,3.8244,9.232856
2271,1,100,-1.135836,6.650116,1.046632,7.742827,-6.851059,5.781148
2272,1,100,3.805817,-5.451244,-6.868671,-9.825492,5.94884,7.367864
2273,1,100,3.410401,1.731813,-4.740394,-10.584273,7.154309,5.059807
2274,2,96,-2.628002,7.605906,1.577768,8.594625,-9.725464,0.660347
2274,2,4,2.462806,2.968159,-5.240804,-10.09519,7.049873,7.27549
2275,1,100,-1.096497,6.760387,2.420369,9.937985,-3.678011,0.246687
2276,1,100,1.034882,2.615908,-2.110978,-5.853232,6.233808,6.27522
2277,2,71,-0.902376,8.093944,5.251552,9.698612,-9.375621,1.534611
2277,2,29,3.668934,-0.920079,-5.95673,-15.62501,4.869424,7.887496
2278,2,51,0.362946,7.588026,1.169445,10.798503,-5.871834,-0.878846
2278,2,49,3.682732,-1.848224,-3.099966,-13.690375,6.888598,-0.855105
2279,1,100,2.065446,7.19281,3.067164,9.718524,-4.290639,2.787864
2280,1,100,0.751584,5.172847,4.536757,8.496949,-6.435098,0.191745
2281,1,100,3.43992,6.939686,2.827025,5.080598,-3.551206,5.75154
2282,1,100,3.751102,-4.717763,-3.791934,-15.172611,7.957184,8.986938
2283,2,85,1.094225,6.931222,6.367927,9.713121,-10.456037,0.32097
2283,2,15,3.913121,-0.972614,-2.847398,-10.230006,6.068536,5.071232
2284,2,97,4.821354,2.769478,0.461174,5.510074,-1.50862,1.21732
2284,2,3,5.247666,-3.327658,-3.3303,-15.073322,3.955592,6.535118
2285,1,100,4.332596,-2.857719,-2.143048,-21.1912,7.303583,7.126571
2286,1,100,0.564739,4.464112,0.50602,9.824899,-7.995251,1.981755
2287,1,100,1.358779,7.585589,2.21232,5.73426,-7.935745,-2.494476
2288,4,24,3.383886,-0.242659,-0.665894,6.423292,1.115144,2.647054
2288,4,33,-1.842885,7.681886,2.900967,12.840195,-8.682864,0.339997
2288,4,27,3.381271,2.293384,0.424007,10.817003,-2.582855,2.041972
2288,4,16,3.383886,-0.242659,-0.665894,-3.208905,5.197618,2.647054
2289,1,100,1.583976,8.641759,1.380855,9.726054,-6.571486,0.521182
2290,1,100,3.737554,-4.412302,-6.136708,-16.153497,7.488225,6.912175
2291,1,100,0.334795,8.33732,3.418797,9.725118,-6.059494,0.808021
2292,1,100,3.575952,4.051484,0.671839,10.395407,-1.850244,2.555518
2293,2,74,-0.170693,7.515892,1.696391,9.591649,-10.85938,2.699212
2293,2,26,2.691351,1.181496,-5.541591,-16.842066,4.163299,7.498442
2294,1,100,3.81774,-2.576528,-5.895451,-14.389596,5.54224,4.952914
2295,1,100,4.148481,-2.22542,-4.491203,-15.099274,5.884905,8.019311
2296,1,100,-1.211372,5.665751,2.135772,7.681336,-8.888894,-0.331382
2297,2,50,1.508297,6.862628,1.214152,11.270564,-7.080535,-0.592187
2297,2,50,4.876632,-0.654752,-7.460409,-10.689991,5.982885,3.698015
2298,1,100,3.930356,-5.396875,-6.465871,-18.828616,6.498867,8.622223
2299,1,100,1.124238,6.593676,0.691296,4.132749,-8.436715,5.550448
2300,1,100,1.965391,6.625373,0.407857,6.740515,-0.654857,-3.185642
2301,1,100,3.17256,6.788214,-0.356708,6.811202,-4.043421,4.433914
2302,3,74,3.677622,-0.737481,-3.452004,-22.627578,7.153454,7.50422
2302,3,24,0.951274,4.335328,1.024491,-5.686958,2.237428,2.773863
2302,3,2,0.951274,4.335328,1.024491,6.693166,-3.33588,2.773863
2303,3,70,0.094282,6.42878,1.816903,7.861159,-6.860059,0.763764
2303,3,8,4.528552,-1.048412,-4.060811,-17.594722,7.632948,5.218083
2303,3,22,4.265236,0.955914,0.421398,-11.392824,5.206185,3.602697
2304,2,74,0.963356,6.981437,2.82531,11.581339,-12.538414,2.856737
2304,2,26,4.489043,-0.779379,-7.123589,-17.608062,2.753026,7.449244
2305,4,64,6.693774,-1.906983,-5.042049,-18.779237,5.76305,6.639671
2305,4,22,3.09414,5.919032,-0.017488,4.727595,-2.116885,4.936509
2305,4,11,3.094202,5.24443,-0.878821,-11.997567,4.360877,6.476924
2305,4,3,3.09414,5.919032,-0.017488,-7.127126,3.586238,4.936508
2306,1,100,4.648206,1.612253,-1.090663,-17.575439,3.559611,4.939652
2307,1,100,4.327651,0.794862,0.701111,4.875681,-1.460479,0.062581
2308,1,100,4.0875,-4.734249,-5.576513,-22.913974,5.041241,7.238199
2309,1,100,1.808785,-1.471989,-4.911706,-16.641726,4.800808,6.05687
2310,2,72,1.681318,6.992304,2.199159,10.638842,-6.253159,1.928129
2310,2,28,3.461341,1.797792,-5.622325,-15.327715,4.536149,8.430564
2311,1,100,4.646768,1.314418,1.557969,1.393791,-7.070503,0.832454
2312,2,92,3.915566,-3.959595,-5.07624,-17.155681,4.277639,8.230314
2312,2,8,2.32572,6.274887,-0.47098,4.502938,-4.621761,7.752321
2313,1,100,1.640835,6.942224,1.380699,11.057381,-10.923272,2.201025
2314,1,100,-2.521206,6.417821,4.239982,5.793942,-12.2244,2.722237
2315,2,54,3.789251,-0.827478,-6.723831,-19.702017,6.792732,7.269178
2315,2,46,0.31254,6.249259,0.553866,10.414534,-8.913129,1.846525
2316,1,100,0.838148,5.854896,2.60697,7.254954,-10.93266,0.889704
2317,1,100,1.23249,4.601335,2.548603,7.347805,-7.277721,0.202988
2318,1,100,3.292568,5.076392,2.88721,6.375289,-6.399008,2.013238
2319,1,100,-0.946178,5.904309,3.200193,9.608062,-10.627533,-0.003799
2320,1,100,3.85474,-3.709235,-6.590066,-20.457118,4.142012,6.943587
2321,2,93,3.538609,2.599582,0.923094,9.500291,-7.849371,2.684368
2321,2,7,0.760046,5.794201,1.867857,10.216772,-12.69624,2.552464
2322,1,100,2.439662,4.377519,5.405673,7.994776,-4.258509,2.656211
2323,2,43,1.431927,6.623746,1.691402,7.052517,-11.063023,4.704624
2323,2,57,3.729512,0.024165,-7.274542,-12.497429,6.993548,8.443089
2324,1,100,5.083608,-1.277512,-10.911134,-18.567977,4.873822,7.038382
2325,1,100,-1.101052,7.087119,2.302777,9.63901,-6.304425,3.301001
2326,2,62,3.819831,-0.122119,-4.004793,-11.025437,6.225186,3.915522
2326,2,38,3.401413,4.824662,-0.269867,7.937616,-0.082198,1.949121
2327,1,100,3.359208,-1.763877,-4.085879,-11.290024,5.990862,4.90789
2328,1,100,-0.734744,7.507251,3.553196,9.780443,-4.984108,2.620397
2329,2,95,-0.567304,6.540276,0.868284,9.351559,-8.113873,1.486108
2329,2,5,3.200128,-1.017275,-2.485213,-8.292208,7.507735,5.847241
2330,1,100,2.039599,6.110231,5.337897,9.051551,-3.257006,-1.47703
2331,2,75,2.12285,-2.608256,-7.814529,-13.717638,4.793181,8.164691
2331,2,25,1.080917,4.836499,0.134721,7.904815,-3.899229,4.228473
2332,1,100,3.557069,-2.672508,-9.116283,-19.560676,4.18347,7.834597
2333,1,100,2.185288,6.34243,3.946691,9.811379,-3.256693,1.304936
2334,1,100,2.828837,2.144298,-1.983554,-13.756187,7.332085,7.984365
2335,1,100,1.966474,5.728884,-1.510519,10.105731,-6.802288,5.494084
2336,1,100,2.745446,4.022094,3.588663,10.348194,-1.473367,0.022272
2337,2,33,1.736354,7.298536,-0.272773,7.435776,-2.214827,6.496116
2337,2,67,1.736354,7.298536,-0.272773,-4.433035,3.683477,6.496116
2338,1,100,3.014347,0.679701,-5.027615,-12.324863,5.386258,7.258795
2339,1,100,4.018119,-5.41932,-5.015081,-15.817032,8.747721,6.108072
2340,2,26,4.10968,2.636381,-3.071027,-15.916958,6.718404,7.480211
2340,2,74,2.232909,5.641798,2.513489,8.188341,-6.626722,1.586877
2341,2,49,4.739569,-1.301555,-8.2997,-15.7243,6.487136,5.508806
2341,2,51,1.5083,6.941722,-1.897503,9.685346,-5.577171,5.476633
2342,2,35,0.381147,7.221762,2.273779,9.782702,-11.830692,0.844382
2342,2,65,0.38485,6.257075,-0.525746,9.68303,-11.196112,4.080866
2343,1,100,4.407405,-3.039508,-13.580173,-16.093881,6.368534,6.340056
2344,2,61,0.378001,5.91052,-1.359813,2.354556,-3.563036,8.220592
2344,2,39,3.563965,-1.243191,-8.783279,-17.180857,5.496942,8.665174
2345,3,51,0.137605,4.1708,-0.296982,8.013719,-6.534451,4.897793
2345,3,23,0.137599,4.170925,1.527484,10.516306,-6.539192,2.427849
2345,3,26,4.368286,-1.745192,-10.20802,-20.319214,6.241072,7.076627
2346,1,100,4.88498,-1.02985,-12.388987,-20.066616,8.006031,6.50097
2347,1,100,2.938214,6.127073,0.613629,9.494279,-9.864208,-0.222764
2348,3,27,3.263059,6.463551,1.050081,-2.09888,2.381594,3.047552
2348,3,45,4.026975,3.164742,-2.569421,-9.028994,5.635589,7.351145
2348,3,28,3.263059,6.463551,1.050081,2.445992,0.229555,3.047552
2349,2,83,3.972776,-4.686387,-6.939511,-20.232805,5.194116,6.366465
2349,2,17,1.243951,5.866787,1.660419,9.767637,-10.594695,3.916225
2350,1,100,0.573355,7.82323,0.725192,9.682938,-0.287529,1.015732
2351,2,72,4.553854,-1.406042,-2.397108,-13.809444,6.706824,5.097957
2351,2,28,0.497975,4.497494,0.618534,7.524966,-5.05659,-0.554553
2352,2,52,0.975768,5.825795,-0.94299,-1.749743,-1.493445,8.695495
2352,2,48,4.126033,0.464604,-7.442113,-19.977439,4.700208,9.01828
2353,3,23,3.584256,0.296448,-3.510036,1.903914,-4.297198,4.280326
2353,3,27,3.584256,0.296448,-3.510036,-4.966575,1.717637,4.280326
2353,3,50,-0.660385,5.610043,1.082475,10.28811,-15.279834,-0.932849
2354,1,100,5.274603,-2.928601,-7.35751,-13.524322,6.291018,4.635178
2355,1,100,3.607313,-6.32512,-9.389275,-17.429137,4.908739,8.234031
2356,1,100,-1.181885,8.210763,1.520626,11.86003,-6.981683,0.653461
2357,1,100,5.893684,-6.089325,-11.866281,-17.21839,1.220839,6.908446
2358,1,100,4.465902,-0.405081,-5.379818,-19.061912,7.196108,5.597012
2359,2,94,1.460199,5.696573,1.82746,7.489621,-3.315137,2.660411
2359,2,6,4.114885,-2.595083,-5.856946,-16.824783,6.775194,6.884495
2360,1,100,0.108249,4.353643,0.865219,7.393749,-8.553197,2.067363
2361,1,100,5.349918,-1.407418,-9.166291,-21.75506,5.228986,6.561639
2362,1,100,4.079356,-6.366615,-1.723682,-13.043355,5.099115,1.314118
2363,1,100,3.925691,-0.866149,-5.372286,-18.989015,5.949683,6.464095
2364,1,100,-0.556727,8.232516,3.503016,9.804781,-10.573098,-0.406236
2365,2,82,3.848537,-0.976967,-5.869741,-23.347878,4.916718,7.034698
2365,2,18,1.451914,5.505338,1.544587,8.614394,-2.028993,3.224739
2366,1,100,3.294985,-0.149334,-5.240013,-15.384288,5.754868,6.710886
2367,1,100,0.655438,4.605582,1.800515,11.196496,-5.232245,-3.851157
2368,2,39,-0.919259,5.739693,0.430128,9.518978,-5.781869,4.998957
2368,2,61,3.74743,-5.764279,-5.695179,-16.489297,6.835365,6.603654
2369,2,71,4.973074,-2.123301,-9.75009,-19.108677,6.613795,5.138875
2369,2,29,1.508219,5.502332,3.184444,8.87672,-4.189665,2.199662
2370,3,64,4.753804,-0.996377,-9.504511,-25.350258,6.573774,8.058083
2370,3,35,2.375216,4.592784,2.723426,-8.685603,-0.439101,2.40659
2370,3,1,2.375216,4.592784,2.723426,3.280637,-3.300698,2.40659
2371,4,21,1.776654,0.178428,-2.36592,0.906903,-2.095459,7.767125
2371,4,55,-4.346096,6.011373,1.130242,10.044697,-11.53411,1.943077
2371,4,14,-1.729911,4.746031,-1.400856,6.505842,-5.399392,7.718272
2371,4,10,1.776654,0.178428,-2.36592,-8.484785,2.320713,7.767125
2372,1,100,0.248993,9.268441,2.740908,8.066161,-12.166474,1.992873
2373,2,64,0.464499,5.175085,-1.382344,7.821714,-5.658301,7.234581
2373,2,36,-1.445481,7.932414,2.963635,11.639813,-10.773897,4.90028
2374,2,54,0.460357,1.013008,-0.084755,5.054042,-8.855066,-0.254342
2374,2,46,0.855181,-4.276872,-4.547668,-6.754534,0.203452,6.070742
2375,1,100,-0.136324,7.262711,0.49415,10.324503,-5.422969,2.217265
2376,1,100,-1.74383,6.384639,1.59959,10.460142,-10.252483,1.123668
2377,1,100,5.704357,-9.073809,-1.927754,-17.036508,2.508459,6.115398
2378,1,100,2.124467,-0.505979,-4.702303,-11.494815,3.201875,7.242946
2379,1,100,5.096023,-3.437852,-9.092666,-19.801038,7.336121,9.346986
2380,1,100,1.286472,5.691376,-1.348345,6.238005,-1.674978,5.30676
2381,1,100,-1.660351,7.997659,0.866093,8.925243,-11.651467,1.007445
2382,3,39,0.082307,5.394457,3.456352,11.535987,-9.829071,3.861672
2382,3,21,0.139984,2.348655,-0.854543,3.969782,-5.164282,7.586482
2382,3,40,0.139984,2.348654,-0.854543,-2.322112,0.84831,7.586483
2383,3,24,0.339245,6.187852,-1.203137,5.360257,-2.632478,7.276246
2383,3,45,0.339245,6.187852,-1.203137,-3.118992,3.713125,7.276246
2383,3,31,0.336,6.190004,2.117899,9.482515,-3.933323,1.809802
2384,1,100,5.062663,-5.277018,-4.545068,-20.592611,5.822726,6.188119
2385,1,100,1.587313,5.410339,4.66497,9.849584,-7.195183,3.929274
2386,1,100,3.627274,-6.56296,-4.399611,-13.591799,4.912476,5.38919
2387,2,46,4.16709,-1.392268,-2.667003,-17.14542,7.461978,4.402317
2387,2,54,2.23683,5.795423,0.847117,9.408505,-4.342065,0.425096
2388,1,100,3.995698,-5.129821,-5.260103,-15.229542,4.603806,3.521175
2389,1,100,3.25863,-5.931037,-5.022723,-18.96322,7.243872,7.418602
2390,1,100,2.347971,6.677713,1.653803,8.278667,-3.814076,3.012157
2391,1,100,2.601332,1.109537,-1.395407,-0.373883,1.728545,3.246499
2392,1,100,3.958573,-0.725205,-11.676349,-14.696266,7.058896,6.654175
2393,1,100,3.849793,0.016923,-0.252649,-4.75548,1.731483,-1.464431
2394,3,48,1.809504,7.195493,1.67748,4.179754,-2.66199,3.603345
2394,3,40,1.809504,7.195493,1.67748,-5.598139,3.121999,3.603345
2394,3,12,4.203943,0.66712,-6.576346,-17.358006,5.4058,6.586393
2395,1,100,0.750942,5.859509,0.750146,5.543617,-10.194614,3.982274
2396,1,100,4.104506,-3.583318,-8.077826,-9.596743,1.778958,5.816627
2397,1,100,4.597231,-4.252425,-7.240204,-19.925127,6.272071,8.091652
2398,1,100,0.313102,6.94933,-0.411844,2.877728,-4.10777,6.509159
2399,1,100,8.382572,-5.766186,-6.277496,-14.022988,6.989454,6.369383
2400,2,67,2.383106,4.692255,2.889341,11.365188,-5.462384,1.571707
2400,2,33,2.415276,4.581219,-0.651309,6.799419,-1.826992,7.492382
2401,2,52,2.862067,-1.148019,-6.553573,-12.911619,5.684011,8.101189
2401,2,48,-1.045098,5.987517,0.190284,3.991632,-8.893007,6.745306
2402,1,100,-3.570899,7.374754,0.960128,6.861354,-8.924121,4.474113
2403,1,100,3.061743,1.566224,-5.383725,-15.523533,5.40458,6.083971
2404,2,67,3.611675,0.508411,-0.526708,-13.388326,1.815865,6.894314
2404,2,33,3.679162,-2.778697,-4.912807,-17.625661,4.986062,7.17292
2405,1,100,0.266611,6.850829,2.786152,4.841137,-3.993663,-0.216743
2406,1,100,4.125602,2.495574,-2.305898,-13.892579,3.785962,6.860444
2407,2,81,4.110561,-5.12181,-5.311369,-17.947897,5.944307,8.674868
2407,2,19,0.195314,6.411842,2.774449,8.043398,-10.163216,2.631175
2408,1,100,3.211358,-0.537683,-6.013852,-19.743098,6.395974,9.452703
2409,2,74,0.077666,5.202228,2.236671,9.558635,-10.537946,1.524353
2409,2,26,4.253279,-1.418608,-4.371407,-20.467681,5.246888,8.045079
2410,2,77,3.410844,-1.940166,-5.395805,-12.81972,2.858435,5.051565
2410,2,23,1.286413,4.471851,0.544607,10.32855,-6.517322,3.319436
2411,1,100,4.062183,-4.686314,-5.99729,-14.886613,6.955534,4.409871
2412,1,100,0.312201,8.796795,1.677617,9.402294,-6.58582,5.717528
2413,2,17,4.103913,2.21599,-7.805023,-14.745714,6.485911,6.278392
2413,2,83,0.46046,8.654796,3.030751,8.318848,-8.84479,0.151788
2414,1,100,1.344783,8.246233,0.857415,8.667297,-0.807112,4.871804
2415,1,100,2.35344,0.098852,-1.076383,-10.926769,4.928386,5.660614
2416,1,100,2.650362,5.967834,-0.328858,1.330861,2.957203,0.334277
2417,2,93,3.872252,0.952532,-0.922648,-5.723872,1.488119,3.958231
2417,2,7,2.328804,4.605819,1.276033,10.024138,-6.834132,2.597519
2418,3,41,-0.769655,5.070913,-1.764336,3.379883,-2.175298,6.442772
2418,3,35,-0.769685,6.590531,1.27735,9.585945,-8.815949,1.793859
2418,3,24,-0.769655,5.070913,-1.764336,-3.441116,1.950943,6.442772
2419,2,98,4.26792,-2.85992,-14.374276,-18.113534,8.772371,6.844593
2419,2,2,2.832816,6.033871,0.349238,8.098409,1.988565,1.076042
2420,1,100,3.265031,-1.252489,-8.962395,-14.739301,3.812482,6.409507
2421,2,55,7.730464,-2.855295,-5.335945,-16.500722,4.886223,6.583392
2421,2,45,1.473053,6.981985,2.087147,9.43144,-7.207181,1.126308
2422,2,62,2.509691,7.278089,0.783728,7.278896,-4.639324,1.155271
2422,2,38,4.154584,1.387956,-7.016302,-15.011989,7.181664,5.869994
2423,2,87,4.023928,0.496207,-0.57916,-8.275554,0.401991,6.070842
2423,2,13,1.430721,6.432149,5.147956,8.933399,-12.496488,0.851958
2424,3,51,5.331108,2.676456,0.069282,-13.254865,2.70965,-0.645247
2424,3,43,3.128776,7.09218,0.182086,9.123471,-1.039831,-0.647386
2424,3,6,5.356587,-3.027087,-4.791013,-22.127267,3.850516,5.724438
2425,1,100,4.581409,-3.713972,-5.972645,-24.758286,6.298365,7.284649
2426,1,100,5.127794,-5.570136,-6.343743,-17.172236,8.565295,6.752085
2427,1,100,3.0964,3.911114,0.957737,8.35136,-1.317268,4.274199
2428,1,100,4.736322,-0.610696,-3.959531,-20.723738,6.55613,8.01166
2429,1,100,0.933331,7.480266,1.74246,3.55288,-9.999216,-4.459526
2430,2,91,5.376731,-1.858839,-3.843764,-18.145537,6.962394,3.812355
2430,2,9,1.398018,6.576823,2.21117,6.731515,-6.64975,0.828665
2431,2,38,0.416843,5.905488,0.218399,9.826674,-3.473757,5.267918
2431,2,62,0.416843,5.905725,3.478954,10.232838,-3.506311,0.706633
2432,1,100,0.240384,6.675414,3.37992,11.50964,-8.95407,3.417238
2433,2,64,2.01082,5.399117,-0.807052,9.523042,-5.405369,1.950916
2433,2,36,3.438048,-0.174353,-5.67672,-10.951318,6.237322,5.991082
2434,3,17,3.862063,4.184348,-0.338907,0.47592,-5.380946,3.860345
2434,3,52,3.862063,4.184348,-0.338907,-8.962847,0.437801,3.860345
2434,3,31,5.482277,-1.716102,-5.330629,-21.456558,5.054614,6.119923
2435,2,79,4.443098,-4.879856,-3.665589,-14.430071,6.80941,1.621824
2435,2,21,-0.587445,5.38287,1.044999,11.611507,-5.204378,-2.640909
2436,1,100,4.294883,-0.46452,-8.183522,-13.909699,6.983576,7.283195
2437,1,100,1.805671,8.898783,2.974711,10.382757,-7.81532,5.130703
2438,2,79,0.970714,7.802606,2.200284,7.483949,-12.335702,0.880473
2438,2,21,4.563874,-0.062382,-7.90501,-18.334091,5.992282,6.700221
2439,2,38,3.837449,-3.746832,-5.38804,-16.337413,2.753663,6.596414
2439,2,62,3.777172,1.868547,0.288103,7.573633,-5.19827,1.478896
2440,1,100,2.439181,0.766102,-11.306249,-14.051441,2.823747,8.059481
2441,2,93,4.782094,-5.582567,-5.172721,-16.20667,2.1856,6.988096
2441,2,7,1.125198,5.611917,4.412035,9.026217,-6.383935,2.183925
2442,1,100,2.216448,2.498985,-0.306599,-12.878623,3.73722,6.056452
2443,4,30,3.436771,5.396889,-1.860879,1.181863,-1.470825,9.160438
2443,4,40,3.775594,2.211441,-7.122758,-17.968167,3.35723,9.161239
2443,4,11,2.994396,7.750264,0.824946,9.028943,-4.798958,5.181069
2443,4,19,3.436771,5.396889,-1.860879,-8.718137,2.910292,9.160438
2444,3,36,2.665855,5.967303,1.062668,-2.564447,1.440939,3.217646
2444,3,46,4.055725,-0.189392,-5.772396,-18.681852,5.898041,6.49735
2444,3,18,2.665855,5.967303,1.062668,7.604763,-2.911047,3.217646
2445,1,100,2.861638,-1.381539,-9.853958,-14.948174,5.666152,7.587134
2446,1,100,4.457957,-2.459091,-5.534214,-16.470831,5.295147,6.485135
2447,1,100,5.520099,-2.21586,-9.305135,-24.043245,8.714163,7.311097
2448,2,53,2.291778,6.143791,3.19084,9.05023,0.025492,-1.872453
2448,2,47,3.606904,2.109486,-4.671319,-7.834488,7.609423,3.979943
2449,1,100,4.301783,-0.855304,-4.784795,-19.522917,4.149662,5.552456
2450,2,46,4.175784,0.445503,-4.841611,-9.645513,6.934194,5.848808
2450,2,54,2.094335,6.642253,-0.082908,8.721496,-1.082019,4.373815
2451,2,67,3.984098,-1.577594,-10.606194,-16.022581,7.716033,6.323518
2451,2,33,1.464463,5.154171,0.341178,10.333303,-8.355318,0.671001
2452,1,100,-0.307873,6.331351,1.967882,9.727316,-9.107668,1.133153
2453,1,100,0.107203,5.377185,2.094655,9.108242,-7.469091,-0.687476
2454,1,100,4.105593,-2.3866,-7.257693,-11.107855,2.01896,7.419482
2455,3,29,3.003888,0.909921,-8.891327,-15.498932,5.568127,7.136386
2455,3,9,3.002939,1.003519,-2.254373,-13.187263,5.566856,0.81167
2455,3,62,1.758964,6.947655,0.16423,6.188145,-4.249816,0.811477
2456,2,62,3.497081,-0.889359,-4.882765,-6.130541,5.930658,3.620451
2456,2,38,2.396026,4.0654,0.586782,9.292228,-1.231651,-0.764266
2457,3,54,2.641643,2.172946,-4.88969,-11.364369,8.935447,6.294567
2457,3,27,2.203716,5.585749,0.337049,7.394519,0.999836,4.436842
2457,3,19,2.203716,5.585749,0.337049,-2.261949,5.329596,4.436842
2458,1,100,4.329649,-6.723363,-1.821557,-11.680748,2.000235,-1.610936
2459,1,100,1.971465,5.800049,0.851075,8.568808,-2.393905,2.752686
2460,2,37,-0.072039,2.256738,4.07316,10.709426,-3.691223,0.848971
2460,2,63,4.121419,-7.039689,-7.746459,-17.007246,8.453507,5.65936
2461,1,100,3.706054,3.16695,-0.290373,-14.558556,6.901398,6.312659
2462,1,100,0.006753,7.894848,1.673015,10.892862,-5.037622,4.787952
2463,2,73,0.653038,6.634168,5.773562,8.122536,-7.15498,4.03869
2463,2,27,2.77735,0.117719,-4.39079,-11.848456,6.349144,6.347942
2464,1,100,-0.179179,6.594304,1.328884,6.877589,-6.997298,1.972118
2465,2,24,4.421869,-3.487574,-6.489314,-14.112704,5.986502,7.072244
