model number,number of steady states,number of runs that converged,AMPK,mTOR,SNAIL ,ZEB,miR200,miR34
56,2,38,1.515808,4.080151,-0.94859,2.797314,-2.176679,7.061079
56,2,62,1.515808,4.080151,-0.94859,-2.430457,0.087748,7.061079
57,4,34,-0.235661,6.442926,2.114369,9.130762,-7.177284,-0.160483
57,4,59,4.355639,-1.041321,-11.462854,-18.571221,7.212354,6.38209
57,4,6,1.941641,4.696108,-2.324079,-1.791949,-2.923675,6.370046
57,4,1,1.941641,4.696108,-2.324079,0.701238,-5.424247,6.370046
58,3,11,0.417567,5.396978,-1.284838,-0.267136,4.750107,8.663585
58,3,87,3.932054,-5.692311,-7.626141,-17.633513,6.730861,8.860991
58,3,2,0.417567,5.396978,-1.284838,-6.897382,4.930552,8.663585
59,1,100,3.17421,0.921739,0.546385,-9.352034,4.17643,0.237803
60,1,100,0.90855,6.371715,3.191937,10.997513,-9.744944,0.336046
61,1,100,-1.13235,5.657639,-2.898715,-11.263498,-0.546871,7.981965
62,1,100,-0.594611,6.31359,1.08422,9.665733,-4.197125,-0.337965
63,3,32,0.73245,7.582992,-0.304692,9.283602,-6.869311,4.050306
63,3,27,3.782148,0.675149,-6.880316,-16.418655,6.718483,4.66404
63,3,41,0.73245,7.585482,2.684513,9.838215,-7.213822,0.097102
64,1,100,3.967381,-4.090297,-8.592878,-13.942483,4.873627,6.403091
65,2,68,2.461461,6.622358,-2.980549,-9.806098,6.359519,7.990879
65,2,32,4.054644,1.720415,-6.188338,-14.603048,6.687853,8.455234
66,2,52,4.436393,-3.373503,-3.943111,-15.704213,5.795335,6.40274
66,2,48,1.25892,6.697385,2.427879,8.657785,-8.687723,3.298415
67,1,100,3.200693,1.349002,-5.770955,-12.555306,6.606158,3.185551
68,1,100,2.377675,-5.556462,-4.366267,-11.692035,2.670276,3.660256
69,3,52,3.109389,0.010553,-7.879159,-16.351709,8.589797,7.214053
69,3,30,1.90612,4.920695,-0.278499,3.851479,-0.678344,0.620331
